State	Continent	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
Total	Total	1	1	1	2	3	3	5	8	8	12	13	15	16	17	19	27	27	29	37	44	50	56	67	72	82	87	96	101	108	116	137	146	167	236	315	360	461	540	703	816	1004	1146	1289	1473	1741	2003	2304	2766	3306	3928	4621	5370	6430	7448	8689	9863	11230	12780	14180	15874	17704	19825	22566	26832	33878	42291	48267	50517
United Arab Emirates	Asia	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	2	2	4	4	9	9	15	15	21	21	21	21	22	23	29	32	34	42	44	50
Albania	Asia	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	2	2	2	2	3	3	3	3	3	4	4
Armenia	Asia	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	1	5	5
Argentina	South America	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	3	4	4	4	4	6	8	8	8	16	16	16	16	27	28	28	30	41	43	44	62	77	78	78
Austria	Europe	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	1	1	1	1	1	1	1	1	1	2	11	12	13	13	13	13	21	21	21	24	33	33	35	36	39	41	56	64	83	112	122	122
Australia	Oceania	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	4	6	8	8	8	8	10	16	19	28	41	48	58	69	97	113	139	181	205	242	285	322	355	394	509	646	743	766
Azerbaijan	Asia	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	2	7	7	7
Bosnia and Herzegovina	Europe	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	2	2	2	2	2
Bangladesh	Asia	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	3	3	3	3	3	3	3	3	8	10	10	10	10	10	10	10	12	12	17	22	40	96	155	226	281	295
