name,longitude,latitude
Afghanistan,69.11,34.28
Albania,19.49,41.18
Algeria,3.08,36.42
American Samoa,-170.43,-14.16
Angola,13.15,-8.5
Antigua and Barbuda,-61.48,17.2
Argentina,-60,-36.3
Armenia,44.31,40.1
Aruba,-70.02,12.32
Australia,149.08,-35.15
Austria,16.22,48.12
Azerbaijan,49.56,40.29
Bahamas (The),-77.2,25.05
Bahrain,50.3,26.1
Bangladesh,90.26,23.43
Barbados,-59.3,13.05
Belarus,27.3,53.52
Belgium,4.21,50.51
Belize,-88.3,17.18
Benin,2.42,6.23
Bhutan,89.45,27.31
Bolivia,-68.1,-16.2
Botswana,25.57,-24.45
Brazil,-47.55,-15.47
Brunei Darussalam,115,4.52
Bulgaria,23.2,42.45
Burkina Faso,-1.3,12.15
Burundi,29.18,-3.16
Cambodia,104.55,11.33
Cameroon,11.35,3.5
Canada,-75.42,45.27
Cape Verde,-23.34,15.02
Cayman Islands (the),-81.24,19.2
Chad,14.59,12.1
Chile,-70.4,-33.24
China,116.2,39.55
Colombia,-74,4.34
Comoros,43.16,-11.4
Costa Rica,-84.02,9.55
Côte d'Ivoire,-5.17,6.49
Croatia,15.58,45.5
Cuba,-82.22,23.08
Cyprus,33.25,35.1
Denmark,12.34,55.41
Djibouti,42.2,11.08
Dominican Republic (the),-61.24,15.2
Ecuador,-78.35,-0.15
Egypt,31.14,30.01
El Salvador,-89.1,13.4
Equatorial Guinea,8.5,3.45
Eritrea,38.55,15.19
Estonia,24.48,59.22
Ethiopia,38.42,9.02
Faroe Islands (the),-6.56,62.05
Fiji,178.3,-18.06
Finland,25.03,60.15
France,2.2,48.5
French Guiana,-52.18,5.05
French Polynesia,-149.34,-17.32
Gabon,9.26,0.25
Gambia (The),-16.4,13.28
Georgia,44.5,41.43
Germany,13.25,52.3
Ghana,-0.06,5.35
Greece,23.46,37.58
Greenland,-51.35,64.1
Guatemala,-90.22,14.4
Guinea,-13.49,9.29
Guinea-Bissau,-15.45,11.45
Guyana,-58.12,6.5
Haiti,-72.2,18.4
Honduras,-87.14,14.05
Hungary,19.05,47.29
Iceland,-21.57,64.1
India,77.13,28.37
Indonesia,106.49,-6.09
Iran (the Islamic Republic of),51.3,35.44
Iraq,44.3,33.2
Ireland,-6.15,53.21
Israel,35.12,31.47
Italy,12.29,41.54
Jamaica,-76.5,18
Jordan,35.52,31.57
Kazakhstan,71.3,51.1
Kenya,36.48,-1.17
Kiribati,173,1.3
Korea (the Democratic People's Republic of),125.3,39.09
Korea (the Republic of),126.58,37.31
Kuwait,48,29.3
Kyrgyzstan,74.46,42.54
Lao People's Democratic Republic (the),102.36,17.58
Latvia,24.08,56.53
Lebanon,35.31,33.53
Lesotho,27.3,-29.18
Liberia,-10.47,6.18
Liechtenstein,9.31,47.08
Lithuania,25.19,54.38
Luxembourg,6.09,49.37
Madagascar,47.31,-18.55
Malawi,33.48,-14
Malaysia,101.41,3.09
Maldives,73.28,4
Mali,-7.55,12.34
Malta,14.31,35.54
Mexico,-99.1,19.2
Mozambique,32.32,-25.58
Myanmar,96.2,16.45
Nepal,85.2,27.45
Netherlands (the),4.54,52.23
Netherlands Antilles (the),-69,12.05
New Caledonia,166.3,-22.17
New Zealand,174.46,-41.19
Nicaragua,-86.2,12.06
Niger (the),2.06,13.27
Nigeria,7.32,9.05
Norfolk Island,168.43,-45.2
Norway,10.45,59.55
Oman,58.36,23.37
Pakistan,73.1,33.4
Palau,134.28,7.2
Panama,-79.25,9
Papua New Guinea,147.08,-9.24
Paraguay,-57.3,-25.1
Peru,-77,-12
Philippines (the),121.03,14.4
Poland,21,52.13
Portugal,-9.1,38.42
Puerto Rico,-66.07,18.28
Qatar,51.35,25.15
Romania,26.1,44.27
Rwanda,30.04,-1.59
Saint Kitts and Nevis,-62.43,17.17
Saint Lucia,-60.58,14.02
Saint Pierre and Miquelon,-56.12,46.46
Saint Vincent and the Grenadines,-61.1,13.1
Samoa,-171.5,-13.5
San Marino,12.3,43.55
Sao Tome and Principe,6.39,0.1
Saudi Arabia,46.42,24.41
Senegal,-17.29,14.34
Sierra Leone,-13.17,8.3
Slovakia,17.07,48.1
Slovenia,14.33,46.04
Solomon Islands (the),159.57,-9.27
Somalia,45.25,2.02
Spain,-3.45,40.25
Sudan (the),32.35,15.31
Suriname,-55.1,5.5
Swaziland,31.06,-26.18
Sweden,18.03,59.2
Switzerland,7.28,46.57
Tajikistan,68.48,38.33
"Tanzania,United Republic of",35.45,-6.08
Thailand,100.35,13.45
Timor-Leste,125.34,-8.29
Togo,1.2,6.09
Tonga,-174,-21.1
Tunisia,10.11,36.5
Turkey,32.54,39.57
Turkmenistan,57.5,38
Tuvalu,179.13,-8.31
Uganda,32.3,0.2
Ukraine,30.28,50.3
United Arab Emirates (the),54.22,24.28
United Kingdom (the),-0.05,51.36
United States (the),-77.02,39.91
Uruguay,-56.11,-34.5
Uzbekistan,69.1,41.2
Vanuatu,168.18,-17.45
Venezuela,-66.55,10.3
Viet Nam,105.55,21.05
Virgin Islands (British),-64.37,18.27
Virgin Islands (U.S.),-64.56,18.21
Zambia,28.16,-15.28
Zimbabwe,31.02,-17.43
