name,latitude,longitude
Learning Phrase Representations using RNN Encoder每Decoder for Statistical Machine Translation,42.278305,-83.73822
RoBERTa: A Robustly Optimized BERT Pretraining Approach,39.908115,116.250656
Recurrent neural network based language model,42.377052,-71.11665
Attention Is All You Need,43.661667,-79.395
Librispeech: An ASR corpus based on public domain audio books,47.655537,-122.30353
Student involvement: A developmental theory for higher education.,37.43,-122.17
XLNet: Generalized Autoregressive Pretraining for Language Understanding,35.713333,139.76222
Lisrel 8: Structural Equation Modeling With the Simplis Command Language,51.753437,-1.2540097
BioBERT: a pre-trained biomedical language representation model for biomedical text mining,37.87216,-122.258575
Universal Language Model Fine-tuning for Text Classification,48.826523,2.365553
GLUE: A Multi-Task Benchmark and Analysis Platform for Natural Language Understanding,39.952457,-75.19322
BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding,52.204453,0.114908
Class-based n -gram models of natural language,40,-83.0145
Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer,-23.563051,-46.730103
SpecAugment: A Simple Data Augmentation Method for Automatic Speech Recognition,34.072224,-118.4441
Communication-Efficient Learning of Deep Networks from Decentralized Data,40.8076,-73.96239
An empirical study of smoothing techniques for language modeling,41.302094,-72.93066
"ALBERT: A Lite BERT for Self-supervised Learning of Language
  Representations",39.328888,-76.62028
"Listen, attend and spell: A neural network for large vocabulary conversational speech recognition",43.076694,-89.41244
Estimation of probabilities from sparse data for the language model component of a speech recognizer,35.026157,135.77979
"Learning Phrase Representations using RNN Encoder-Decoder for
  Statistical Machine Translation",42.44851,-76.47862
Language Models are Few-Shot Learners,39.999584,116.32542
Unsupervised Cross-lingual Representation Learning at Scale,40.79845,-77.85993
"DistilBERT, a distilled version of BERT: smaller, faster, cheaper and lighter",49.260674,-123.24608
Extensions of recurrent neural network language model,42.35982,-71.09211
A comparison of event models for naive bayes text classification,29.643902,-82.35495
Improved backing-off for M-gram language modeling,40.10218,-88.227196
Building End-To-End Dialogue Systems Using Generative Hierarchical Neural Network Models,44.974194,-93.22776
LSTM neural networks for language modeling,51.52447,-0.1339817
Neural Architecture Search with Reinforcement Learning,51.4986,-0.175478
A study of smoothing methods for language models applied to information retrieval,32.881,-117.238
Automatic evaluation of summaries using N-gram co-occurrence statistics,-33.88858,151.1873
Transformers: State-of-the-Art Natural Language Processing,-37.797115,144.95998
Statistical Methods for Speech Recognition,31.201267,121.43278
SciBERT: A Pretrained Language Model for Scientific Text,30.263878,120.12342
A Decomposable Attention Model for Natural Language Inference,40.443504,-79.961525
From captions to visual concepts and back,37.7628,-122.45767
Google＊s Multilingual Neural Machine Translation System: Enabling Zero-Shot Translation,34.82229,135.52444
Dialogue Act Modeling for Automatic Tagging and Recognition of Conversational Speech,38.54,-121.75
Discriminative training and maximum entropy models for statistical machine translation,38.254166,140.87361
Adversarial Examples for Evaluating Reading Comprehension Systems,53.46705,-2.233884
"BART: Denoising Sequence-to-Sequence Pre-training for Natural Language Generation, Translation, and Comprehension",45.504166,-73.57472
LDA-based document models for ad-hoc retrieval,35.905163,-79.04694
A Maximum Entropy Model for Part-Of-Speech Tagging,30.28614,-97.73942
Topic modeling,42.3496,-71.0997
Recurrent Continuous Translation Models,34.02051,-118.28563
Rapid method for distinction of gram-negative from gram-positive bacteria,41.78885,-87.5987
N-gram-based text categorization,39.000443,-77.102394
A Study of Smoothing Methods for Language Models Applied to Ad Hoc Information Retrieval,39.909058,116.25057
Don＊t Stop Pretraining: Adapt Language Models to Domains and Tasks,-27.495964,153.00963
End-to-end attention-based large vocabulary speech recognition,53.52378,-113.52907
What Does BERT Look at? An Analysis of BERT＊s Attention,1.295556,103.776665
Towards End-To-End Speech Recognition with Recurrent Neural Networks,40.73,-73.995
ViLBERT: Pretraining Task-Agnostic Visiolinguistic Representations for Vision-and-Language Tasks,32.232246,-110.953545
Character-Aware Neural Language Models,-33.917732,151.23096
State-of-the-Art Speech Recognition with Sequence-to-Sequence Models,50.58329,5.559053
A Primer on Neural Network Models for Natural Language Processing,-37.9083,145.138
A program for aligning sentences in bilingual corpora,50.878162,4.700263
A theoretically grounded application of dropout in recurrent neural networks,55.944897,-3.189284
Relevance-Based Language Models,33.626534,130.42465
Model-based feedback in the language modeling approach to information retrieval,40.740875,-74.1739
Neural Architecture Search with Reinforcement Learning,38.649033,-90.31085
PSORTb v.2.0: Expanded prediction of bacterial protein subcellular localization and insights gained from comparative proteome analysis,55.67972,12.5725
Publicly Available Clinical,36.003147,-78.926895
ERNIE: Enhanced Language Representation with Informative Entities,42.723,-84.481
Multi-Task Deep Neural Networks for Natural Language Understanding,41.90384,12.514438
Enhanced LSTM for Natural Language Inference,30.610369,-96.344055
VideoBERT: A Joint Model for Video and Language Representation Learning,42.05485,-87.67394
Two decades of statistical language modeling: where do we go from here?,37.460155,126.9519
The Curious Case of Neural Text Degeneration,42.362804,-71.068634
Generating Text with Recurrent Neural Networks,39.987152,116.305855
Contextual String Embeddings for Sequence Labeling,38.983047,-76.941864
Exploring the limits of language modeling,19.322817,-99.18663
Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer,59.34802,18.022285
Language modeling with gated convolutional networks,30.508183,114.41474
End-To-End Memory Networks,51.511417,-0.116727
Assessing the Ability of LSTMs to Learn Syntax-Sensitive Dependencies,40.76496,-111.84215
Sequence Level Training with Recurrent Neural Networks,33.792786,-84.32401
Language Models as Knowledge Bases?,35.15472,136.96695
SuperGLUE: A Stickier Benchmark for General-Purpose Language Understanding Systems,55.713203,13.193537
GLUE: A Multi-Task Benchmark and Analysis Platform for Natural Language Understanding,55.710793,37.577812
Predicting query performance,32.113388,34.802155
What Does BERT Learn about the Structure of Language?,45.46099,9.194592
TinyBERT: Distilling BERT for Natural Language Understanding,42.02496,-93.64955
A maximum entropy approach to adaptive statistical language modelling,45.746998,126.63069
LSTM recurrent networks learn simple context-free and context-sensitive languages,42.3356,-71.106415
Improved Inference for Unlexicalized Parsing,33.775887,-84.39629
XLNet: Generalized Autoregressive Pretraining for Language Understanding,52.450558,-1.930556
Unified Language Model Pre-training for Natural Language Understanding and Generation,48.148056,11.568056
Three new graphical models for statistical language modelling,44.49389,11.342778
End-to-end memory networks,40.42395,-86.9212
Applications of stochastic context-free grammars using the Inside-Outside algorithm,40.344234,-74.65147
Using the Output Embedding to Improve Language Models,45.406387,11.877446
A Scalable Hierarchical Distributed Language Model,31.297712,121.50361
Unsupervised Machine Translation Using Monolingual Corpora Only,52.355793,4.954782
Linguistic Knowledge and Transferability of Contextual Representations,41.662952,-91.554924
Learning Word Vectors for 157 Languages,51.0775,-114.13306
Continuous space language models,51.45639,-2.604444
MASS: Masked Sequence to Sequence Pre-training for Language Generation,38.035,-78.505
An Empirical Study of Smoothing Techniques for Language Modeling,60.17251,24.950956
How to Fine-Tune BERT for Text Classification?,43.07818,141.33997
Hierarchical Probabilistic Neural Network Language Model.,33.417194,-111.93651
Context dependent recurrent neural network language model,22.419722,114.206795
A cache-based natural language model for speech recognition,1.344722,103.68139
One Billion Word Benchmark for Measuring Progress in Statistical Language Modeling,-22.816828,-47.06974
Natural Language Object Retrieval,47.37581,8.546482
Federated Learning of Deep Networks using Model Averaging,35.784386,-78.682785
Language Models are Few-Shot Learners,52.93807,-1.196703
JUPlTER: a telephone-based conversational interface for weather information,33.64535,-117.84264
Pointer Sentinel Mixture Models,53.80722,-1.551667
Ask me anything: dynamic memory networks for natural language processing,41.50442,-81.60838
Twitter Sentiment Analysis with Deep Convolutional Neural Networks,53.38139,-1.488272
Understanding Natural Language Commands for Robotic Navigation and Mobile Manipulation,-22.8172,-47.0694
Unsupervised Learning of Sentence Embeddings Using Compositional n-Gram Features,52.090164,5.122601
Intelligent Selection of Language Model Training Data,55.872307,-4.288221
The Writing of History,50.93463,-1.39595
Fast Abstractive Summarization with Reinforce-Selected Sentence Rewriting,34.247223,108.979164
A bit of progress in language modeling,59.85105,17.629967
Semi-supervised sequence tagging with bidirectional language models,55.703934,37.52867
Programming With Models: Writing Statistical Algorithms for General Model Structures With NIMBLE,37.566032,126.93854
"Document language models, query models, and risk minimization for information retrieval",36.144936,-86.80269
A hierarchical Bayesian language model based on Pitman-Yor processes,35.60528,139.68259
An overview of the SPHINX speech recognition system,41.386665,2.163889
Neural Probabilistic Language Models,43.263332,-79.91889
An empirical study of smoothing techniques for language modeling,39.17106,-86.51388
Meshed-Memory Transformer for Image Captioning,29.70706,-95.39697
