x,y,value
1979,1978,0.0
1980,1978,0.0
1980,1979,0.1
1981,1978,0.04
1981,1979,0.0
1981,1980,0.0
1982,1978,0.0
1982,1979,0.18
1982,1980,0.11
1982,1981,0.0
1983,1978,0.0
1983,1979,0.06
1983,1980,0.0
1983,1981,0.0
1983,1982,0.0
1984,1978,0.0
1984,1979,0.01
1984,1980,0.0
1984,1981,0.0
1984,1982,0.0
1984,1983,0.02
1985,1978,0.0
1985,1979,0.04
1985,1980,0.01
1985,1981,0.0
1985,1982,0.02
1985,1983,0.0
1985,1984,0.0
1986,1978,0.0
1986,1979,0.04
1986,1980,0.0
1986,1981,0.0
1986,1982,0.0
1986,1983,0.01
1986,1984,0.01
1986,1985,0.03
1987,1978,0.0
1987,1979,0.07
1987,1980,0.02
1987,1981,0.0
1987,1982,0.02
1987,1983,0.03
1987,1984,0.05
1987,1985,0.03
1987,1986,0.05
1988,1978,0.0
1988,1979,0.02
1988,1980,0.01
1988,1981,0.0
1988,1982,0.01
1988,1983,0.01
1988,1984,0.01
1988,1985,0.01
1988,1986,0.03
1988,1987,0.13
1989,1978,0.0
1989,1979,0.01
1989,1980,0.0
1989,1981,0.0
1989,1982,0.0
1989,1983,0.01
1989,1984,0.01
1989,1985,0.0
1989,1986,0.02
1989,1987,0.07
1989,1988,0.13
1990,1978,0.0
1990,1979,0.01
1990,1980,0.0
1990,1981,0.0
1990,1982,0.0
1990,1983,0.01
1990,1984,0.0
1990,1985,0.01
1990,1986,0.01
1990,1987,0.05
1990,1988,0.07
1990,1989,0.18
1991,1978,0.0
1991,1979,0.01
1991,1980,0.0
1991,1981,0.0
1991,1982,0.0
1991,1983,0.0
1991,1984,0.01
1991,1985,0.0
1991,1986,0.01
1991,1987,0.05
1991,1988,0.05
1991,1989,0.17
1991,1990,0.29
1992,1978,0.0
1992,1979,0.0
1992,1980,0.0
1992,1981,0.0
1992,1982,0.0
1992,1983,0.0
1992,1984,0.0
1992,1985,0.01
1992,1986,0.01
1992,1987,0.04
1992,1988,0.04
1992,1989,0.11
1992,1990,0.18
1992,1991,0.14
1993,1978,0.0
1993,1979,0.01
1993,1980,0.0
1993,1981,0.0
1993,1982,0.01
1993,1983,0.0
1993,1984,0.01
1993,1985,0.01
1993,1986,0.01
1993,1987,0.04
1993,1988,0.03
1993,1989,0.09
1993,1990,0.13
1993,1991,0.11
1993,1992,0.19
1994,1978,0.0
1994,1979,0.01
1994,1980,0.0
1994,1981,0.0
1994,1982,0.01
1994,1983,0.0
1994,1984,0.0
1994,1985,0.01
1994,1986,0.01
1994,1987,0.02
1994,1988,0.03
1994,1989,0.08
1994,1990,0.08
1994,1991,0.08
1994,1992,0.16
1994,1993,0.2
1995,1978,0.0
1995,1979,0.01
1995,1980,0.0
1995,1981,0.0
1995,1982,0.01
1995,1983,0.0
1995,1984,0.01
1995,1985,0.01
1995,1986,0.01
1995,1987,0.03
1995,1988,0.04
1995,1989,0.08
1995,1990,0.1
1995,1991,0.09
1995,1992,0.15
1995,1993,0.15
1995,1994,0.26
1996,1978,0.0
1996,1979,0.01
1996,1980,0.0
1996,1981,0.0
1996,1982,0.01
1996,1983,0.0
1996,1984,0.0
1996,1985,0.01
1996,1986,0.01
1996,1987,0.02
1996,1988,0.02
1996,1989,0.04
1996,1990,0.05
1996,1991,0.06
1996,1992,0.09
1996,1993,0.1
1996,1994,0.22
1996,1995,0.23
1997,1978,0.0
1997,1979,0.01
1997,1980,0.0
1997,1981,0.0
1997,1982,0.0
1997,1983,0.0
1997,1984,0.0
1997,1985,0.0
1997,1986,0.0
1997,1987,0.01
1997,1988,0.01
1997,1989,0.02
1997,1990,0.02
1997,1991,0.03
1997,1992,0.05
1997,1993,0.06
1997,1994,0.13
1997,1995,0.13
1997,1996,0.22
1998,1978,0.0
1998,1979,0.01
1998,1980,0.0
1998,1981,0.0
1998,1982,0.01
1998,1983,0.0
1998,1984,0.0
1998,1985,0.0
1998,1986,0.0
1998,1987,0.01
1998,1988,0.01
1998,1989,0.02
1998,1990,0.02
1998,1991,0.03
1998,1992,0.04
1998,1993,0.04
1998,1994,0.11
1998,1995,0.1
1998,1996,0.19
1998,1997,0.16
1999,1978,0.0
1999,1979,0.01
1999,1980,0.0
1999,1981,0.0
1999,1982,0.0
1999,1983,0.0
1999,1984,0.0
1999,1985,0.0
1999,1986,0.0
1999,1987,0.01
1999,1988,0.01
1999,1989,0.04
1999,1990,0.03
1999,1991,0.03
1999,1992,0.05
1999,1993,0.05
1999,1994,0.13
1999,1995,0.12
1999,1996,0.19
1999,1997,0.2
1999,1998,0.22
2000,1978,0.0
2000,1979,0.01
2000,1980,0.0
2000,1981,0.0
2000,1982,0.0
