index,text,size
7,language,53792
9,model,46407
13,models,39550
22,data,16790
25,performance,13749
28,text,12641
29,training,12049
32,tasks,11819
33,paper,11619
34,word,11553
35,speech,11310
37,based,10327
38,recognition,10223
41,task,9598
42,approach,9528
46,method,9212
47,learning,8935
50,proposed,8518
51,system,8496
52,neural,8373
54,propose,7862
60,methods,7263
62,modeling,6966
66,natural,6732
68,languages,6656
70,experiments,6270
75,pre-trained,5742
76,knowledge,5732
77,translation,5721
79,corpus,5469
81,state-of-the-art,5371
82,bert,5362
84,dataset,5327
85,trained,5113
86,systems,5082
87,accuracy,5069
91,network,4900
93,datasets,4714
95,processing,4646
98,classification,4616
99,generation,4557
101,features,4495
103,machine,4431
104,n-gram,4410
106,perplexity,4278
108,improve,4199
112,analysis,4084
114,context,4037
115,set,4031
116,study,3957
117,nlp,3950
118,asr,3941
119,approaches,3921
120,representations,3876
122,compared,3796
125,error,3689
127,evaluation,3618
128,domain,3571
131,existing,3515
133,input,3492
134,human,3490
135,retrieval,3449
136,time,3446
137,framework,3437
138,english,3436
139,sentence,3409
140,automatic,3409
141,demonstrate,3404
143,understanding,3373
144,transformer,3355
146,semantic,3296
148,techniques,3248
151,multilingual,3177
153,rate,3125
154,topic,3123
157,target,3075
161,test,3034
162,search,3027
163,attention,3022
164,sequence,3015
165,question,3007
166,experimental,2990
167,deep,2983
168,algorithm,2950
169,representation,2948
171,sentences,2888
172,acoustic,2842
173,baseline,2842
174,embeddings,2822
175,previous,2810
176,fine-tuning,2803
177,parameters,2787
179,statistical,2765
180,outperforms,2742
183,networks,2688
184,achieve,2683
185,effective,2631
186,code,2629
187,multiple,2600
188,pre-training,2589
190,documents,2563
193,document,2517
194,pretrained,2517
195,corpora,2498
196,architecture,2478
197,lm,2459
198,detection,2453
199,generate,2449
200,evaluate,2439
203,source,2427
204,including,2418
207,prediction,2406
208,process,2398
209,terms,2381
211,quality,2366
212,achieves,2359
213,improvement,2358
214,introduce,2357
216,achieved,2335
217,,2325
218,applications,2299
219,generated,2291
220,linguistic,2260
222,train,2247
224,vocabulary,2238
225,perform,2235
226,applied,2220
227,recurrent,2211
229,memory,2191
230,provide,2190
232,learn,2185
234,downstream,2141
235,inference,2126
236,simple,2122
237,output,2110
238,chinese,2095
240,standard,2091
241,structure,2088
243,specific,2040
244,size,2037
245,embedding,2037
246,improvements,2036
248,adaptation,2030
251,encoder,2004
252,benchmark,1993
253,transfer,1982
254,social,1971
256,spoken,1950
257,technique,1941
258,texts,1939
259,current,1939
261,effectiveness,1912
263,score,1890
266,feature,1848
267,sequences,1824
270,improves,1797
272,end-to-end,1780
273,sentiment,1768
274,single,1765
275,improved,1762
276,news,1755
278,address,1749
279,query,1742
280,space,1740
281,unsupervised,1739
283,limited,1723
284,investigate,1720
287,traditional,1707
288,decoding,1704
290,level,1698
291,efficient,1689
294,image,1680
297,result,1669
299,user,1656
301,ability,1644
302,dialogue,1632
303,entity,1629
305,finally,1619
306,lstm,1614
307,lms,1614
308,character,1602
309,challenging,1591
310,answering,1590
311,probability,1576
312,large-scale,1570
314,latent,1551
315,studies,1551
317,development,1544
318,relative,1540
319,pairs,1532
320,addition,1527
322,errors,1518
323,content,1507
325,evaluated,1506
326,explore,1505
327,computational,1503
330,additional,1478
331,syntactic,1471
333,algorithms,1463
