date,value
1796-12-31,1
1800-01-01,2
1805-01-01,3
1823-01-01,4
1843-01-01,5
1847-03-13,6
1869-01-01,7
1870-07-01,8
1872-05-01,9
1874-07-01,11
1874-09-01,12
1882-08-29,13
1882-09-01,14
1889-07-01,15
1896-01-01,17
1897-11-01,18
1898-01-01,19
1898-08-20,20
1899-12-01,22
1902-06-01,23
1902-08-01,25
1902-09-27,26
1905-07-09,27
1906-07-14,28
1910-01-01,29
1911-01-01,30
1912-01-06,31
1916-10-01,32
1917-07-01,33
1919-04-01,34
1919-04-18,35
1924-12-01,36
1925-10-01,37
1926-10-01,38
1927-01-01,39
1928-07-28,40
1931-11-21,41
1932-02-01,42
1932-04-01,43
1932-06-18,44
1933-01-01,46
1934-01-01,47
1937-06-01,48
1938-10-01,49
1939-01-01,50
1942-07-01,51
1942-09-01,52
1943-01-01,53
1943-02-01,54
1945-07-01,55
1946-07-01,56
1946-10-01,57
1947-01-01,58
1947-05-01,59
1949-01-01,60
1950-06-20,61
1951-06-01,62
1952-04-01,63
1952-07-01,64
1952-09-01,65
1952-11-01,66
1953-01-01,67
1953-10-01,68
1954-09-01,69
1955-01-01,70
1956-01-01,71
1956-02-01,72
1956-07-01,73
1956-11-01,74
1957-01-01,75
1958-01-01,77
1958-02-03,78
1958-07-01,79
1958-11-01,80
1959-10-01,82
1960-04-01,83
1961-01-01,84
1961-07-01,85
1961-12-01,86
1962-01-01,88
1962-12-01,89
1963-01-01,90
1963-02-23,91
1964-01-01,92
1964-03-01,93
1964-08-01,94
1964-09-01,95
1965-01-01,96
1965-04-01,100
1965-10-01,102
1965-12-31,103
1966-03-01,104
1966-07-01,105
1967-01-01,106
1967-06-01,107
1967-09-01,108
1967-09-16,109
1967-10-01,110
1968-01-01,113
1968-12-01,114
1969-01-01,116
1969-04-01,117
1969-05-07,118
1969-08-01,119
1969-10-01,121
1969-10-25,122
1970-01-01,123
1970-05-01,124
1970-06-06,125
1970-07-01,126
1970-10-29,127
1971-01-01,132
1971-01-15,133
1971-04-01,134
1971-06-01,135
1971-11-01,136
1972-01-01,138
1972-07-31,139
1972-09-01,140
1973-01-01,143
1973-05-01,144
1973-09-01,145
1974-01-01,150
1974-02-01,152
1974-03-01,153
1974-05-01,154
1974-09-01,155
1974-11-01,156
1975-01-01,160
1975-04-01,162
1975-04-13,163
1975-06-10,164
1975-07-01,165
1975-09-01,166
1976-01-01,173
1976-05-01,175
1976-08-01,176
1976-12-01,177
1977-01-01,179
1977-02-01,180
1977-08-01,181
1977-09-05,182
1977-12-01,183
1978-01-01,189
1978-02-01,191
1978-03-01,192
1978-06-01,193
1978-09-01,194
1978-09-22,195
1978-10-01,196
1978-10-05,197
1978-11-01,198
1978-12-01,199
1978-12-31,200
1979-01-01,202
1979-02-01,203
1979-04-01,204
1979-04-02,205
1979-09-01,206
1979-10-01,208
1979-12-01,210
1980-01-01,218
1980-02-01,219
1980-09-30,220
1980-11-01,222
1980-12-01,225
1981-01-01,230
1981-04-01,231
1981-05-31,233
1981-11-01,234
1982-01-01,240
1982-05-01,241
1982-09-01,242
1982-10-01,243
1982-12-01,245
1983-01-01,253
1983-02-01,254
1983-03-01,255
1983-04-01,256
1983-06-01,257
1984-01-01,262
1984-01-20,263
1984-02-01,264
1984-04-01,265
1984-05-01,266
1984-06-01,267
1984-07-01,269
1984-08-01,272
1984-09-01,274
1984-12-31,275
1985-01-01,285
1985-04-01,287
1985-06-03,288
1985-08-18,289
1985-08-27,290
1985-09-01,291
1985-11-13,292
1986-01-01,303
1986-03-22,304
1986-04-01,307
1986-05-01,308
1986-06-01,309
1986-07-01,311
1986-08-01,312
1986-09-01,314
1986-10-01,315
1986-12-01,317
1987-01-01,323
1987-02-07,324
1987-03-01,326
1987-04-01,331
1987-04-06,333
1987-06-30,334
1987-07-01,335
1987-08-01,336
1987-12-01,337
1988-01-01,350
1988-02-09,351
1988-04-11,358
1988-05-01,360
1988-06-01,361
1988-08-22,363
1988-09-01,364
1988-10-01,365
1988-10-31,366
1988-11-01,371
1988-12-01,372
1989-01-01,386
1989-02-01,387
1989-02-21,392
1989-03-01,393
1989-03-22,394
1989-04-01,395
1989-05-08,396
1989-05-23,409
1989-07-01,411
1989-08-01,412
1989-10-01,414
1989-10-15,418
1989-11-01,421
1989-11-10,422
1989-11-27,423
1990-01-01,439
1990-04-01,442
1990-04-03,450
1990-05-01,454
1990-06-01,455
1990-06-17,456
1990-06-24,463
1990-07-01,467
1990-08-01,469
1990-08-20,471
1990-09-01,472
1990-10-01,475
1990-11-01,476
1990-12-01,478
1991-01-01,498
1991-02-13,499
1991-02-19,503
1991-04-01,504
1991-04-14,513
1991-05-01,514
1991-06-01,515
1991-06-11,516
1991-06-18,517
1991-07-18,518
1991-08-01,519
1991-09-01,521
1991-11-18,522
1991-12-01,524
1992-01-01,547
1992-02-01,550
1992-02-23,560
1992-03-01,562
1992-03-23,578
1992-04-01,579
1992-04-11,580
1992-05-01,581
1992-06-01,585
1992-06-16,586
1992-07-01,588
1992-07-13,589
1992-08-23,590
1992-09-01,591
1992-09-11,592
1992-10-01,596
1992-11-01,597
1992-12-01,598
1992-12-05,599
1993-01-01,616
1993-03-01,618
1993-03-21,620
1993-03-25,621
1993-04-01,623
1993-04-22,626
1993-04-27,640
1993-05-19,641
1993-07-01,643
1993-07-09,644
1993-07-11,645
1993-08-19,646
1993-09-01,648
1993-09-06,649
1993-09-23,650
1993-10-01,654
1993-10-20,655
1993-10-25,656
1993-11-19,657
1993-12-01,659
1993-12-02,660
1994-01-01,695
1994-02-01,699
1994-02-25,701
1994-03-08,710
1994-03-11,711
1994-04-01,712
1994-04-13,716
1994-04-19,731
1994-04-28,732
1994-05-01,735
1994-05-02,736
1994-05-10,738
1994-06-01,739
1994-06-27,743
1994-07-01,745
1994-07-02,746
1994-07-06,747
1994-08-01,751
1994-08-05,753
1994-08-08,754
1994-08-19,755
1994-08-24,756
1994-09-21,758
1994-10-01,761
1994-10-04,762
1994-10-11,763
1994-10-13,765
1994-10-27,767
1994-10-31,768
1994-11-05,769
1994-11-29,770
1994-12-01,771
1994-12-06,772
1994-12-15,774
1994-12-31,775
1995-01-01,812
1995-01-11,813
1995-02-01,815
1995-02-09,816
1995-03-01,817
1995-03-09,818
1995-03-26,819
1995-03-28,820
1995-05-01,822
1995-05-09,849
1995-06-01,854
1995-06-07,855
1995-06-22,856
1995-06-23,857
1995-07-01,858
1995-08-01,859
1995-08-14,862
1995-09-01,865
1995-09-17,866
1995-10-01,867
1995-11-01,872
1995-11-15,873
1995-12-01,875
1995-12-04,876
1995-12-15,879
1996-01-01,904
1996-02-01,905
1996-03-01,906
1996-03-11,907
1996-03-14,909
1996-03-18,910
1996-03-26,911
1996-04-01,913
1996-04-17,914
1996-04-25,915
1996-05-01,916
1996-05-07,940
1996-05-15,941
1996-05-17,942
1996-05-25,943
1996-06-01,946
1996-06-11,947
1996-06-17,948
1996-06-24,949
1996-07-01,952
1996-07-13,953
1996-07-18,954
1996-08-01,959
1996-08-05,962
1996-08-25,964
1996-09-01,965
1996-09-04,967
1996-09-15,968
1996-09-23,969
1996-09-25,972
1996-09-30,973
1996-10-01,979
1996-10-03,1026
1996-10-14,1027
1996-11-11,1028
1996-11-12,1029
1996-11-16,1030
1996-11-18,1031
1996-12-01,1034
1996-12-12,1035
1997-01-01,1083
1997-01-15,1084
1997-01-17,1085
1997-02-01,1087
1997-02-08,1088
1997-03-01,1089
1997-03-04,1090
1997-03-31,1093
1997-04-01,1095
1997-04-09,1096
1997-04-21,1120
1997-04-23,1122
1997-05-07,1123
1997-05-25,1124
1997-06-01,1128
1997-06-09,1129
1997-06-11,1130
1997-06-23,1131
1997-07-01,1132
1997-07-02,1133
1997-07-07,1138
1997-07-11,1140
1997-08-01,1143
1997-08-18,1147
1997-08-20,1148
1997-09-01,1154
1997-09-19,1156
1997-09-22,1160
1997-09-24,1161
1997-10-01,1166
1997-10-12,1167
1997-10-28,1168
1997-11-01,1172
1997-11-02,1173
1997-11-13,1174
1997-11-19,1177
1997-12-01,1180
1997-12-02,1181
1997-12-12,1182
1997-12-14,1193
1998-01-01,1256
1998-01-08,1257
1998-01-11,1260
1998-01-14,1262
1998-02-01,1264
1998-02-11,1265
1998-03-01,1267
1998-03-12,1269
1998-03-25,1270
1998-04-01,1272
1998-05-01,1274
1998-05-04,1275
1998-05-05,1276
1998-05-06,1279
1998-05-12,1301
1998-05-18,1302
1998-06-01,1304
1998-06-02,1305
1998-06-23,1306
1998-07-01,1311
1998-07-12,1313
1998-07-13,1314
1998-08-01,1320
1998-08-03,1321
1998-08-10,1330
1998-08-16,1331
1998-09-01,1334
1998-09-08,1335
1998-09-21,1336
1998-09-27,1337
1998-09-29,1338
1998-10-01,1340
1998-10-11,1343
1998-10-12,1346
1998-10-20,1347
1998-10-27,1348
1998-11-12,1349
1998-11-25,1350
1998-12-10,1351
1998-12-25,1353
1999-01-01,1441
1999-01-22,1442
1999-02-01,1446
1999-03-01,1451
1999-03-15,1475
1999-03-25,1476
1999-04-01,1479
1999-05-01,1480
1999-05-12,1481
1999-06-01,1484
1999-06-18,1485
1999-06-20,1488
1999-06-25,1489
1999-07-01,1491
1999-07-10,1492
1999-07-18,1493
1999-07-31,1494
1999-08-01,1495
1999-08-06,1496
1999-08-30,1497
1999-09-01,1509
1999-09-09,1510
1999-09-13,1512
1999-09-15,1513
1999-10-01,1519
1999-10-04,1521
1999-10-31,1522
1999-11-01,1526
1999-12-01,1529
1999-12-06,1530
1999-12-21,1531
2000-01-01,1631
2000-01-24,1632
2000-01-25,1633
2000-02-01,1636
2000-02-23,1637
2000-03-01,1639
2000-03-26,1641
2000-03-29,1642
2000-04-01,1644
2000-04-12,1647
2000-04-15,1648
2000-04-29,1650
2000-05-01,1655
2000-05-03,1656
2000-05-16,1657
2000-05-22,1658
2000-05-29,1659
2000-06-01,1664
2000-06-05,1679
2000-06-09,1680
2000-06-11,1681
2000-06-16,1683
2000-06-19,1684
2000-06-27,1685
2000-07-01,1688
2000-07-17,1689
2000-07-30,1691
2000-07-31,1696
2000-08-01,1700
2000-08-03,1701
2000-08-21,1702
2000-08-28,1703
2000-09-01,1711
2000-09-03,1713
2000-09-06,1714
2000-09-11,1715
2000-09-13,1724
2000-09-18,1725
2000-09-21,1726
